city,score_tendance_5jours
Le Mont-Saint-Michel,73.0
St Malo,73.0
Bayeux,62.0
Le Havre,69.0
Rouen,84.0
Paris,84.0
Amiens,73.0
Lille,69.0
Strasbourg,47.0
Chateau du Haut Koenigsbourg,47.0
Colmar,58.0
Eguisheim,58.0
Besancon,62.0
Dijon,58.0
Annecy,66.0
Grenoble,62.0
Lyon,84.0
Bormes les Mimosas,96.0
Cassis,96.0
Marseille,92.0
Aix en Provence,92.0
Avignon,84.0
Uzes,84.0
Nimes,84.0
Aigues Mortes,96.0
Saintes Maries de la mer,92.0
Collioure,77.0
Carcassonne,77.0
Ariège,73.0
Toulouse,84.0
Montauban,73.0
Biarritz,51.0
Bayonne,62.0
La Rochelle,77.0
